street_name;houses;okato
пр-кт Ленина;48, 50, 50/1, 52, 52/1, 52/2, 52/3, 52/8, 53, 53/1, 53/2, 54, 54/1, 54/2, 55, 55/1, 56, 56/1, 57, 57/1, 57/2, 57/3, 58, 58/1, 58/2, 58/2 стр 1, 58/3, 58/4, 58/8, 59, 59/8, 60, 60/1, 60/2, 61, 61/1, 61/2, 62, 63, 63/1, 63/2, 64, 64/1, 65, 65/1, 65/2, 65/8, 65А, 67, 67/1, 69, 69/1;75438372000
пр-кт Ленина;104/1, 106/1, 108/1, 108/8, 87, 89, 89 стр 1, 89 стр 4, 89/10, 89/3, 89/5, 89/8, 89/9, 91, 91/1, 91А, 93, 100, 102, 104, 106, 108, 94/1, 94/2, 94/3, 96, 98, 98/1, 98/2, 98/3, 98/4;75438375000
пр-кт Ленина;103, 105, 105/1, 105А, 109 стр 1, 112, 112/1, 112/2, 112/2 стр 1, 112/8, 112А, 114, 114/1, 114/2, 114/3, 114/3 стр 1, 114/8, 116, 116/1, 116А, 116Б, 118, 118/1, 118/2, 95, 97, 99, 122, 122/1, 122/2, 122/3, 122/4, 122/8, 124, 124/1, 124/2, 124/3, 124/8, 126, 126/1, 126/2, 126/3, 126/4, 126/8, 128, 128/1, 128/2, 130, 95/1, 95/1 стр 1, 95/1 стр 2, 95/2, 95/3, 95/4, 95/5, 95/8, 95А, 95Б, 97/8, 97А, 97Б, 99А, 99Б;75438375000
пр-кт Ленина;1, 1/1, 2, 2/2, 3, 3/1, 4, 4/1, 4/8, 5, 6;75438372000
пр-кт Ленина;66, 66/1, 68, 68/1, 68/2, 68/2 стр 1, 68/2 стр 2, 68/2 стр 3, 68/3, 70, 70/8, 71, 71/1, 71А, 71А стр 1, 71Б, 72, 72/8, 73, 74, 74/1, 74/8, 74/9, 74А, 75, 75/8, 77, 77/8, 77А, 78, 78/1, 78/2, 78А, 80, 80/1, 80/2, 80/3, 80/3 стр 1, 80/8, 82, 82/1, 83, 83 стр 1, 84, 84/1, 84/2, 85, 85/1, 85/2, 85/2 стр 1, 85/2 стр 2, 85/2 стр 3, 85/2 стр 8, 85А, 85В, 85В стр 1, 86, 86/1, 86/2, 86/3, 86/3 стр 1, 86/3 стр 2, 86/8, 88, 88/1, 88/2, 88/3, 88/4, 89/1, 90, 90/1, 90/2, 90/3, 90/4, 90/5, 90/8, 92, 92/1, 94, 94А;75438372000
пр-кт Ленина;132/3, 134/8, 136, 136/1, 136/2, 136/3, 136А, 138, 138/2, 138/3, 140, 140/1, 140/2, 140/3, 140/8, 140А, 142, 142/1, 142/2, 142А, 144, 144/1, 144/2, 144/8, 146, 148, 150, 150/1, 152, 154, 154/1, 154А;75438369000
пр-кт Ленина;109, 109/1, 111, 113, 115, 117, 119, 121, 123, 125, 127, 129, 129/1, 129/2, 131, 131/1, 131/2, 133, 133/1, 133/2, 133/3, 133/4, 133/5, 134/5, 135, 135/1, 135/2, 135/3, 135/4, 135А, 137, 139;75438369000
пр-кт Ленина;107;75438369000
;;
ул. 9 Мая;1, 10, 10А стр 1, 11, 11А, 12, 12/1, 12/1 стр 1, 12/1 стр 2, 12/1 стр 3, 12/1 стр 4, 12/2, 12/3, 14 стр 1, 2, 3, 4, 5, 6, 7, 8, 13, 14, 15, 16, 17, 17 стр 1, 17 стр 11, 17 стр 12, 17 стр 13, 17 стр 2, 17 стр 3, 17 стр 4, 17 стр 5, 17 стр 6, 17 стр 7, 17 стр 8, 17 стр 9, 17/1, 17/1 стр 1, 17/1 стр 2, 17/1 стр 3, 17/1 стр 4, 17/1 стр 5, 17/10, 20/1, 22/2, 26, 26/1, 27, 2А, 2Б, 39, 3А, 45, 45 стр 1, 45 стр 2, 45 стр 3, 7/1, 7/1 стр 1, 7/1 стр 2, 8А;75438369000
;;
ул. Гагарина;58/5;75438375000
ул. Гагарина;32, 32/8, 36, 36 стр 1, 36 стр 2, 36 стр 3, 36/8, 42, 44, 48;75438372000
ул. Гагарина;10, 12, 12 стр 1, 2, 3, 4, 8, 14, 16, 18, 18/1, 18/8, 20, 24, 28, 3 стр 1;75438372000
ул. Гагарина;45, 47, 49, 50, 50/8, 51, 52, 53, 54 стр 1, 54 стр 2, 55, 56, 56 стр 1, 56 стр 10, 56 стр 11, 56 стр 12, 56 стр 13, 56 стр 14, 56 стр 15, 56 стр 16, 56 стр 17, 56 стр 18, 56 стр 19, 56 стр 2, 56 стр 20, 56 стр 21, 56 стр 22, 56 стр 23, 56 стр 24, 56 стр 25, 56 стр 26, 56 стр 27, 56 стр 28, 56 стр 3, 56 стр 4, 56 стр 5, 56 стр 6, 56 стр 7, 56 стр 8, 56 стр 9, 56А, 57, 58, 58 стр 1, 58 стр 2, 58 стр 3, 58 стр 4, 58 стр 5, 58/2, 58/2 стр 1, 58/2 стр 2, 58/2 стр 3, 58/2 стр 4, 58/2 стр 5, 58/2 стр 6, 58/3, 58/4, 59, 60, 61, 62, 62/1, 63, 67, 69, 71, 73, 73/1, 73А, 75А, 82/3;75438375000
ул. Гагарина;23, 23 стр 1, 25, 25/1, 27, 29, 29 стр 1, 33, 33А, 35, 35 стр 1, 35 стр 2, 35/8, 39, 39/8, 41, 43;75438375000
ул. Гагарина;15, 15А, 17;75438372000
;;
ул. Галиуллина;1, 1/1, 10, 10/8, 11, 11/1, 11/2, 11/3, 11/8, 11А, 12, 14, 14 стр 19, 14/2, 1А, 1В, 2, 2А, 3, 3/1, 3/2, 3/3, 3/4, 3/8, 3А, 4/3, 4/4, 4/8, 4/8 стр 1, 4А, 4Б, 5, 5/1, 5А, 6, 7, 7/1, 7/2, 7/3, 7/8, 7А, 9, 9А;75438375000
ул. Галиуллина;15/1, 16, 16/1, 17, 17 стр 2, 18, 18/1, 18/2, 18/3, 18/4, 18/8, 18А, 18Б, 19, 19/1, 19/2, 19/3, 19/4, 20, 21, 21/8, 22, 22/1, 22/8, 22А, 23, 24, 24/1, 24/2, 24/3, 24/4, 24/8, 24А, 25, 25/1, 25/2, 25/3, 26, 26/1, 27, 27/1, 27/2, 27/3, 27/8, 28, 28/1, 29, 29/1, 29/2, 30, 30/1, 30/8, 31, 31/1, 31/2, 31/3, 31/4, 33, 33/1, 33/3, 35, 37, 39, 39/1, 41, 41/1, 43, 45, 45/1, 45/2, 45/3, 45/8, 47, 47/1, 47/2, 49, 49/1, 49/2, 49/8, 51;75438369000
;;
ул. Завенягина;10, 10/1, 109/2, 10А, 10А/1, 12, 12А, 12Б, 2, 14, 14/1, 14/2, 14/3, 16, 2/2, 2А, 2А стр 1, 4, 4/2, 4/7, 4/8, 4А, 4Б, 4В, 4Г, 6, 6/2, 6/8, 6А, 8, 8А;75438375000
ул. Завенягина;1, 1/1, 1/2, 1/4, 1/4 стр 1, 1/5, 1/8, 3, 3/1, 5;75438369000
ул. Завенягина;109/3;75438369000
ул. Завенягина;11/3, 7, 9, 11, 13, 15, 7/8, 9/1;75438369000
;;
ул. Калибровщиков;1, 10, 11, 11/А, 2, 3, 4, 5, 6, 7, 8, 12, 14, 16, 18, 19, 2/А, 20, 21, 22, 22/1, 22А, 24, 24А, 25, 25 стр 1, 27, 28, 28 стр 1, 28 стр 2, 28 стр 3, 28 стр 4, 28 стр 5, 28 стр 6, 28 стр 7, 28 стр 8, 28А, 28А стр 1, 28А стр 2, 28А стр 3, 28А стр 4, 3/1, 3/2, 3/3, 3/4, 3/5, 3/6, 30 стр 1, 30 стр 2, 30А, 32, 32 стр 1, 33, 33 стр 8, 34, 37, 3А, 4А, 5 стр 1, 5 стр 2, 5 стр 3, 5 стр 4, 5 стр 5, 5 стр 6, 5 стр 7, 5 стр 8, 5/1, 5/2, 5/2 стр 1, 5/3, 6/А, 8/А;75438369000
;;
ул. Мичурина;1, 10, 106А, 11, 118/8, 11А, 14А, 14Б, 2, 3, 4, 6, 8, 9, 13, 14, 15, 16, 16/8, 17, 17А, 17Б, 18, 19, 1А, 20, 20А, 21, 21А, 22, 23, 24, 25, 26, 27, 28, 29, 29А, 30, 31, 31/1, 31А, 32, 33, 34, 34А, 35, 36, 36А, 37, 37А, 38, 39, 39А, 40, 41, 42, 42А, 43, 44, 45, 46, 46/1, 46А, 47, 47А, 48, 48А, 49, 49А, 50, 51, 51/8, 52, 53, 54, 54А, 55, 55А, 56, 56/1, 56А, 57, 57А, 58, 58/8, 59, 59А, 59Б, 60, 61, 61А, 62, 63, 64, 65, 66, 66А, 67, 68, 69, 70, 71, 72, 73, 74, 75, 75А, 76, 77, 78, 79, 80, 80/1, 80А, 81, 82, 83, 84, 84А, 85, 85А, 86, 87, 88, 90, 91, 91/1, 91/1 стр 1, 91/1 стр 2, 92, 94, 96, 98, 100, 102, 104, 106, 108, 110, 112, 114, 116, 118, 120, 122, 94/1, 9А;75438372000
ул. Мичурина;101/1, 93, 95, 99, 101, 103, 105, 124, 126, 128, 130, 132, 134, 136, 136/2, 136/3, 136/4, 138, 138/1, 140, 142, 93/1, 93/2;75438375000
;;
ул. Советская;120;75438369000
ул. Советская;1, 10, 10/1, 101/А, 105А, 105Б, 10А, 11, 12, 12А, 13, 13А, 14, 14А, 15, 15А, 16, 16А, 2, 3, 17, 17А, 19, 19А, 20, 21, 22, 23, 23А, 24, 24/1, 25, 25 стр 1, 25 стр 2, 25 стр 3, 26, 26/1, 27, 28, 29, 2А, 30, 101, 103, 105, 107, 108, 109, 30 стр 1, 30 стр 2, 30/8, 31, 32, 32/1, 32/2, 32/3, 4, 33, 35, 37, 38, 39, 39А, 4/8, 40, 40/1, 40/8, 41/8, 42, 48А, 5, 7, 8, 9, 49, 51, 55, 57, 59, 59А, 5А, 61, 61А, 63, 63А, 65, 67, 67А, 69, 69А, 71, 71А, 73, 77, 77А, 79, 81, 83, 85, 87, 89, 91, 92, 93, 94, 95, 95/1, 97, 99, 9А;75438372000
ул. Советская;52, 52/8, 52А, 52Б, 54, 56, 58, 58/А, 58А, 60, 60/1, 62, 64, 66, 66/А, 68, 68/1, 68/2, 70;75438375000
ул. Советская;111, 113, 115, 117, 119, 119А, 121, 121 стр 1, 121/8, 123, 123А, 123А стр 1, 123А стр 2, 123А/1, 123А/2, 123А/3, 123А/4;75438375000
ул. Советская;125, 125/1, 127, 127/1, 127/2, 127/3, 127/4, 127/8, 129, 129/1, 129/2, 129/3, 133/1, 133/2, 133/3, 137/1, 139А, 139Б, 143/1, 143/2, 143/3, 143/8, 72, 74, 76, 78, 131, 133, 135, 136, 137, 139, 141, 143, 74/1, 74/2, 76/1, 78/8, 80, 82, 84, 84/8, 86, 86А, 88, 88/8, 88/8 стр 1;75438375000
ул. Советская;172, 174, 176, 176/1, 176/2, 176/3, 176/4, 178, 178/1, 178/2, 178/8, 178А, 180, 180/1, 182, 207, 207Б, 209, 209/1, 209/8, 209А, 209Б, 211, 213, 213/1, 215, 215А, 217, 217/2, 217/8, 219, 219/1, 219/2, 221, 221/2, 223, 223А, 225, 225/1, 227, 229, 229/1;75438369000
ул. Советская;102, 106, 145, 145/1, 145/2, 145/3, 145/5, 147, 147/1, 147/2, 147/3, 147/4, 147/5, 147/8, 149, 151, 153, 155, 155/1, 155/2, 155/3, 157, 157А, 159, 159/1, 159/2;75438375000
ул. Советская;161;75438375000
ул. Советская;154, 154/1, 156, 156/1, 156/4, 158, 158 стр 1, 158 стр 3, 158/1, 158/1 стр 1, 158/1 стр 2, 158/1 стр 3, 158/1 стр 4, 158/1 стр 5, 158/1 стр 6, 158/2, 158/2 стр 6, 158/3, 158/4, 158/4 стр 1, 158/4 стр 2, 160, 160/1, 160/3, 160/4, 160/5, 160/6, 160/7, 160/8, 160А, 160А стр 1, 160Б, 160В, 162, 162/2, 162/2 стр 1, 162/2 стр 10, 162/2 стр 11, 162/2 стр 2, 162/2 стр 3, 162/2 стр 4, 162/2 стр 5, 162/2 стр 6, 162/2 стр 7, 162/2 стр 8, 162/2 стр 9, 162/3, 164, 164 стр 1, 164 стр 2, 164 стр 3, 166, 166/1, 166/2, 166/3, 166/4, 166/5, 166А, 168, 168/2, 168/3, 170, 170 стр 1, 170/1, 170А, 170Б;75438369000
ул. Советская;134, 140, 163, 163А, 165, 165А, 165А/1, 165А/2, 165Б, 167, 167А, 167Б, 167В, 167Г, 169, 169А, 169Б, 169В, 169Г, 171, 171А, 173, 173А, 175, 175А, 177, 177А, 179, 181, 183, 185, 187, 187/1, 189, 191, 193, 193/1, 195, 195/1, 195/2, 195/3, 195/8, 195А, 197, 197А;75438369000
ул. Советская;199, 199/1, 199/2, 199/7, 199/8, 199А, 201, 201/1, 201/2, 201/3, 205, 205/1, 205/2, 205/3, 205/8, 205А;75438369000
;;
ул. Суворова;1, 10, 11, 12, 13, 13 стр 1, 14А, 2, 4, 6, 8, 9, 14, 15, 15А, 16, 17, 18, 18/1, 19, 19/1, 20, 20/1, 20А, 21, 21/8, 21А, 22, 22/1, 23, 23А, 24, 25, 25А, 25Б, 26, 26А, 27, 28, 29, 29/8, 29А, 2А, 2Б, 2В, 30, 31, 32, 32/1, 32А, 33, 34, 34/1, 35, 36, 36/1, 37, 37/1, 37/2, 38, 38/1, 38А, 39, 40, 41, 41/1, 42, 42/1, 43, 43/1, 43А, 44, 44А, 45, 46, 47, 47/2, 47А, 47Б, 48, 49, 49/1, 49/2, 49/8, 49А, 50, 50А, 51, 51А, 52, 53, 53А, 54, 55, 55А, 56, 56А, 57А, 58, 59, 59А, 60, 60А, 61, 62, 62А, 63, 63А, 64, 65, 66, 66/1, 67, 67/2, 67А, 68, 68/8, 68А, 69, 6А, 70, 71, 72, 73, 73А, 74, 74А, 74Б, 75, 76, 76А, 77, 77А, 78, 79, 80, 80А, 81, 81А, 82, 82/1, 83, 84, 86, 100, 86/1, 88, 8А, 90, 92, 94, 96;75438372000
ул. Суворова;85;75438372000
ул. Суворова;100/8, 100/9, 101, 101/1, 89, 91, 93, 95, 97, 99, 102, 103, 103А, 105, 105/1, 106, 107, 107/8, 107А, 108, 109, 109/1, 110, 110А, 110Б, 89/1, 91/1, 93/8, 95/1, 97/1, 99/1;75438375000
ул. Суворова;112, 114, 114/1, 114/2, 114/3, 114/4, 114/5, 114/6, 114/8, 114А, 114Б, 116, 116/1, 116/2, 116/2 стр 1, 116/3, 116/4, 118, 118/1, 118/2, 120, 120/1, 120/2, 120/3, 120А, 122, 124;75438375000
ул. Суворова;123, 123/1, 125, 125/1, 125/1 стр 1, 125/2, 125/3, 125/4, 126, 126/1, 126/2, 127, 128, 128/1, 129, 129/1, 129/2, 130, 131, 131/1, 131/8, 132, 132/1, 132/2, 132/3, 132/4, 133, 133/1, 133/2, 133/3, 133/4, 134, 134/1, 134/А, 135, 136, 136/1, 136/2, 136/3, 136/4, 136/5, 136/7, 137, 137/1, 137/8, 138, 138/1, 138/2, 138/3, 139, 140, 142, 144, 146;75438375000
ул. Суворова;111, 113, 115, 115/1, 117, 117/1, 117/2, 117/2 стр 1, 119, 119/1, 119/2, 119/8, 121, 121/1;75438372000
